"gene","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12"
"GENE1494",6.1057,6.0104,5.9216,5.6073,5.6805,6.4108,5.3041,6.2837,5.2382,5.9454,5.7469,5.8465
"GENE1495",5.8966,6.007,5.5875,5.5998,5.6954,5.8229,4.0669,4.4436,3.9549,4.3653,3.985,4.9366
"GENE1496",5.1215,5.0081,5.5115,5.9877,6.9474,5.4351,5.7116,5.493,5.6829,6.4939,7.9044,6.3524
"GENE1497",9.1123,8.0512,8.3479,8.972,9.2097,8.2918,9.3347,9.7534,8.4874,8.8664,9.6966,8.5023
"GENE1498",7.4927,6.6178,7.633,8.0248,5.7283,8.477,7.0352,6.8004,6.8411,8.5632,7.8104,5.8404
"GENE1499",9.7105,9.0479,10.1546,10.5283,9.2361,10.9113,10.2012,8.9562,8.2615,8.3349,8.7318,8.385
"GENE1500",8.3692,7.5862,8.5291,8.0362,7.849,8.4051,8.4834,8.2692,8.1166,7.788,7.6914,8.0663
"GENE1501",9.1388,9.7917,10.0719,10.9138,9.2874,10.1294,9.8567,9.4108,8.3537,9.7216,9.847,10.4629
"GENE1502",2.4942,3.3536,1.9526,2.9614,2.9666,3.9714,2.6747,3.843,2.3503,3.846,3.117,4.1482
"GENE1503",4.991,4.7337,4.091,4.329,4.6056,5.1637,2.9669,4.0305,3.5259,3.1908,3.2241,3.7061
"GENE1504",5.1327,4.0021,5.4639,3.609,5.6458,4.3247,4.5649,4.1467,4.7112,4.1782,4.8633,4.3781
"GENE1505",5.1483,4.9896,5.5634,4.4491,5.6689,4.978,4.4583,5.0027,5.0463,5.4424,5.988,4.6563
"GENE1506",5.6507,5.4375,4.8843,5.2098,4.9413,5.7999,5.4207,5.084,4.3217,4.8816,5.1651,5.6645
"GENE1507",6.457,7.2105,6.7427,6.9272,7.0837,7.4186,7.06,6.8509,7.5255,6.6532,6.6885,6.6925
"GENE1508",3.7239,2.9746,3.4895,3.8384,2.9528,3.7943,3.6648,2.9984,3.4941,3.3825,3.0956,3.456
"GENE1509",4.2702,5.5931,5.4782,6.6189,4.9135,4.7262,5.4781,4.1117,5.1234,4.7401,4.8749,5.433
"GENE1510",5.4523,4.0488,4.9075,5.272,5.0963,4.374,4.6723,3.0695,4.0277,6.0966,5.4549,3.6499
"GENE1511",5.1882,5.1923,5.0103,5.2394,5.2952,4.8297,8.0278,7.3885,7.5978,7.3201,8.0679,7.3361
"GENE1512",4.6284,5.4638,3.9996,5.1122,4.7582,5.0926,4.5186,5.034,4.5006,4.8126,4.4277,5.3353
"GENE1513",8.9077,8.9353,8.7123,8.9215,7.5403,8.4299,8.0493,9.7509,8.7099,8.5859,8.9992,8.9733
"GENE1514",7.6668,7.7547,7.3532,8.655,7.8884,8.1607,7.5084,8.5572,8.0499,8.4975,7.979,8.2082
"GENE1515",6.2901,6.0587,5.3478,5.7439,6.976,5.7706,6.6721,5.3874,6.4253,6.0557,6.665,6.2843
"GENE1516",3.6564,3.013,2.7989,4.1095,3.8739,3.5266,3.4356,2.7625,3.8834,3.4622,3.3976,3.3066
"GENE1517",12.0683,11.3035,10.6055,9.6651,11.4584,9.6911,11.2204,10.7999,12.0652,12.59,11.9583,11.8765
"GENE1518",7.6168,8.9552,8.3426,8.1091,7.0952,8.2997,7.6548,7.4369,7.903,8.4945,8.7914,7.9819
"GENE1519",8.6097,7.6991,7.7603,9.1566,8.7643,7.88,7.7984,8.0767,7.5861,8.2425,8.8307,7.1442
"GENE1520",2.0948,1.5036,2.1841,1.4544,2.2707,1.0616,2.2923,1.5116,2.0758,1.3087,1.934,0.8402
"GENE1521",5.0807,5.3093,5.7979,5.5693,4.8547,5.6572,6.6728,5.2541,4.9619,4.9037,5.5042,5.0245
"GENE1522",6.3654,8.924,7.4401,8.0323,6.9754,8.3589,7.572,8.2491,7.742,7.9412,7.486,8.0809
"GENE1523",7.0908,6.2435,6.7847,6.7707,6.9065,6.9511,7.0967,6.7235,6.79,6.526,6.5791,7.0921
"GENE1524",7.2739,7.4621,6.8816,6.4519,7.9369,5.8958,6.2263,7.7178,8.3032,7.575,8.8949,6.2345
"GENE1525",6.9134,5.751,6.7964,5.8581,7.5539,5.7964,8.4495,9.6917,9.1272,7.5834,7.6124,8.2073
"GENE1526",5.5507,3.9902,4.9248,4.7281,5.0247,4.921,5.2739,4.3292,5.3686,5.0106,4.8278,5.0776
"GENE1527",6.8409,3.9098,6.0425,4.9228,5.4908,5.3798,6.3435,4.1426,5.3182,4.629,4.68,5.5895
"GENE1528",3.2663,3.7675,3.9201,4.374,4.0752,4.5406,4.3358,5.0554,4.9481,4.7069,4.7266,5.9274
"GENE1529",8.9769,8.4874,9.423,8.7181,7.1771,8.0409,8.4158,8.9589,8.8807,6.5373,7.0763,7.5742
"GENE1530",0.6814,2.7445,1.3496,4.9404,1.0278,2.1511,2.3671,2.6152,2.3469,1.8004,1.5966,3.0677
"GENE1531",5.093,6.1634,5.3932,5.9661,5.9545,6.2975,5.7904,5.4589,6.1574,5.317,5.3563,6.1876
"GENE1532",7.806,7.6922,7.8526,7.9979,8.1337,8.1297,7.7327,7.3346,8.5543,7.3522,7.7371,8.0876
"GENE1533",6.0502,5.9473,5.6392,4.9359,5.391,6.1934,4.6677,4.8317,4.649,4.3086,4.9668,5.2367
"GENE1534",9.4845,9.8867,9.0009,8.6985,8.9868,8.4713,8.6697,8.473,8.7801,8.6271,8.4967,8.408
"GENE1535",7.1909,7.9752,8.4875,7.8401,7.9946,7.9746,7.8901,8.3209,8.4172,7.7803,7.4358,8.124
"GENE1536",3.0033,4.1142,2.9406,5.6226,4.7141,3.7745,4.2411,4.0863,4.4799,4.3369,5.8766,4.7937
"GENE1537",6.1562,6.0938,4.7239,6.0291,6.5124,4.7085,4.3912,7.4454,6.4614,6.0346,6.1169,7.0777
"GENE1538",5.4189,5.6272,5.8723,4.8484,6.4551,5.2313,6.8054,5.4112,7.1057,5.4595,5.8497,6.0842
"GENE1539",7.3241,7.3221,5.5694,4.7449,7.2109,7.5127,6.6079,7.0046,7.4429,6.5565,6.0664,6.1557
"GENE1540",3.6497,5.0561,6.3294,5.5216,4.2016,5.3958,4.2035,4.9736,5.2453,5.3957,6.4616,4.7177
"GENE1541",6.1144,5.6543,4.7337,3.6925,5.3068,4.0564,4.0358,4.8112,2.9944,6.3431,4.4864,3.7906
"GENE1542",5.5859,5.6217,4.6048,5.4011,5.4203,5.8438,5.7216,5.5532,5.0903,5.1286,5.1399,5.0926
"GENE1543",8.3638,8.3058,7.7428,8.4867,7.277,7.2412,8.2222,9.0258,8.1898,10.0726,9.3532,8.8252
"GENE1544",9.0159,7.7802,8.4153,8.8319,8.1771,7.8833,8.9376,8.5807,7.5227,9.6008,7.811,8.6453
"GENE1545",4.9304,4.6375,4.3083,4.8108,4.2932,4.8181,3.9578,4.7509,4.9958,3.8246,5.7606,4.6988
"GENE1546",5.7987,5.8922,5.9579,6.5129,5.7105,5.1737,6.201,5.8414,5.5631,5.9692,5.9668,5.7662
"GENE1547",3.7148,4.27,4.0128,4.8012,4.4797,4.6416,4.4013,4.81,3.2243,4.2105,3.4548,4.1322
"GENE1548",4.1294,3.42,5.3463,4.1865,3.7229,4.7047,3.2796,6.6773,4.1232,5.345,2.4452,4.9077
"GENE1549",5.0629,4.5643,2.5124,4.4453,4.6682,4.6592,3.99,3.8733,6.2511,5.8553,4.8116,5.2018
"GENE1550",3.4762,4.4296,3.8708,3.6751,3.0374,3.5813,3.062,4.5866,3.0425,3.8158,3.0899,4.0414
"GENE1551",2.2793,1.8851,2.2641,2.6503,1.5517,1.9429,1.4822,1.841,1.9796,2.1512,1.678,2.2305
"GENE1552",7.3968,7.9128,7.5872,7.9252,7.337,7.103,8.197,7.8011,7.6513,7.765,8.0576,7.8771
"GENE1553",7.5219,7.5999,6.9638,6.4735,8.0199,6.9776,7.3119,7.0948,7.0717,6.7569,5.9376,6.484
"GENE1554",4.432,3.6155,4.2877,3.266,4.4108,4.7875,3.8186,4.4793,3.4674,5.8292,3.4127,3.9219
"GENE1555",8.7547,7.2316,7.3384,8.157,7.7634,9.5278,7.4699,7.5106,8.4908,8.164,9.2012,7.921
"GENE1556",9.5445,8.912,10.1164,8.6064,10.6699,9.282,9.239,8.9428,9.9447,8.8469,9.3103,9.3023
"GENE1557",0.6342,-0.1995,-1.0798,1.6814,1.4936,-0.4416,-0.9996,1.4345,0.8006,1.2507,2.2794,1.7851
"GENE1558",9.002,6.932,8.8164,7.1745,7.8329,6.2667,9.2167,7.6977,8.0787,7.0645,9.0985,6.6683
"GENE1559",10.3303,7.8119,9.8122,9.6191,9.3729,7.4369,9.6514,9.9339,8.9156,9.7102,9.601,9.3859
"GENE1560",6.1308,4.6854,6.4907,5.9777,6.4665,5.0904,5.7387,6.7693,4.8768,5.6725,6.1825,7.444
"GENE1561",4.2979,4.8373,4.9678,5.1124,5.4573,4.8239,4.9272,5.1238,4.3132,5.2579,4.7668,5.1713
"GENE1562",5.0001,3.8318,5.1443,3.8457,3.4036,2.7,3.9572,4.1645,4.1371,3.2738,3.7423,4.182
"GENE1563",3.0916,3.6061,5.1921,4.4714,3.9663,3.4552,3.8532,3.9794,4.7133,5.2506,4.1185,4.6118
"GENE1564",5.3642,5.778,5.4948,3.4382,5.1509,5.8968,4.3328,4.1097,4.6081,3.9249,4.6431,4.0262
"GENE1565",1.4417,1.4731,1.5903,1.6103,1.7783,1.844,1.2767,1.2879,2.1608,1.3331,1.9817,1.5397
"GENE1566",4.5378,3.7813,5.352,4.0163,4.5385,3.8278,4.4725,4.1643,4.5497,3.9694,4.4166,4.5481
"GENE1567",7.8539,8.9741,8.2513,8.4866,7.9041,8.4186,7.9231,8.435,8.2256,9.2974,8.1501,8.4124
"GENE1568",3.5713,3.7968,5.01,5.4268,5.2093,4.7542,4.0824,4.6933,4.3861,3.5682,6.2118,4.2056
"GENE1569",9.7295,8.8866,9.4148,9.3919,8.8184,9.9593,8.7009,8.9866,9.1402,10.4576,9.5138,9.215
"GENE1570",6.3804,5.446,6.1961,4.9577,6.2746,5.9873,6.4347,6.4447,5.28,5.8598,5.411,5.7237
"GENE1571",4.7972,5.7932,7.4591,7.2583,7.39,6.2864,2.1858,2.7712,2.9428,3.6745,1.9138,2.5675
"GENE1572",7.2206,6.9477,6.7541,6.7479,6.0816,6.3405,5.9087,6.6722,7.1678,6.4827,7.5421,7.1071
"GENE1573",5.3979,2.8512,4.4772,3.83,4.1644,4.6075,6.3015,5.4045,2.6736,4.3359,5.1829,3.0783
"GENE1574",4.2205,4.5819,4.1753,4.8606,4.0734,4.4246,4.2414,4.5644,4.1318,4.584,5.0109,4.7813
"GENE1575",5.5738,3.1073,5.0852,3.8813,4.5584,5.083,5.1122,4.7991,5.1581,4.4976,5.9927,6.6965
"GENE1576",9.8537,8.5223,9.0659,9.4515,9.6565,8.6658,9.4207,9.2137,8.8928,8.6658,9.5373,8.8804
"GENE1577",7.2449,7.8714,7.7807,7.8233,6.5456,8.0582,9.5957,6.8893,5.5514,8.1889,6.4561,5.8364
"GENE1578",5.0179,5.3961,5.4942,5.5223,6.1794,5.2736,5.2997,5.6205,5.2978,6.3039,6.2046,5.2995
"GENE1579",4.0485,3.5006,3.225,4.4236,3.9389,3.5459,3.7851,4.7071,4.2998,4.5472,4.4319,4.7068
"GENE1580",5.8649,6.0541,5.4619,6.2353,6.1023,5.4061,6.2399,5.5235,5.5605,6.5139,5.4932,6.7646
"GENE1581",5.6421,5.3884,5.8752,4.7151,7.943,7.4013,5.3407,6.091,6.6539,7.0742,6.9064,6.8169
"GENE1582",4.9062,4.8164,5.7302,5.0418,5.467,4.7309,5.0496,5.1363,5.1645,5.1288,4.8597,4.8384
"GENE1583",4.0298,4.7735,4.8479,4.4444,4.4343,4.9176,4.4934,5.3177,4.67,4.4682,4.9199,3.7515
"GENE1584",5.9388,4.2221,4.6269,4.6887,2.8756,4.0793,3.9001,4.0776,4.2422,3.9679,3.0227,4.7151
"GENE1585",5.6504,5.1511,5.4713,5.1302,5.2988,5.6193,6.048,4.8865,5.8383,4.9129,5.089,5.0543
"GENE1586",6.8734,6.4859,7.0954,5.7237,6.8689,6.7428,6.5358,6.7018,6.9237,6.4977,7.0569,5.8874
"GENE1587",7.43,8.3659,7.6673,6.6645,7.3599,7.7329,9.4155,8.1181,5.7478,8.4731,7.4759,7.3005
"GENE1588",4.144,3.0768,2.7415,3.565,3.2892,3.1288,2.2666,5.4052,4.0766,3.073,3.1788,4.2665
"GENE1589",4.6946,4.3059,4.1978,4.3004,3.7741,4.3241,4.4606,4.7673,4.6957,4.9522,4.0762,5.352
"GENE1590",2.3477,1.6448,1.8781,2.1523,0.757,1.1729,2.436,2.4953,2.3445,0.5802,2.2766,2.0587
"GENE1591",5.3807,6.2435,5.7398,7.1631,5.8462,5.599,6.8766,7.7648,6.4166,7.195,7.6891,8.601
"GENE1592",7.2718,8.0351,7.4944,7.8345,7.5955,6.5293,7.7049,6.9318,7.2384,7.5803,6.925,7.8892
"GENE1593",6.3216,5.7427,6.2961,5.5256,6.4116,4.9673,6.3198,5.6569,6.6608,5.7058,7.059,4.7649
"GENE1594",8.0894,8.5314,7.6872,9.2292,8.8625,9.2548,9.3714,10.0851,8.9138,9.9548,9.5462,9.6049
"GENE1595",6.2459,7.7034,8.8437,7.402,7.541,5.2412,7.182,6.9754,8.4576,8.5657,7.3517,8.1052
"GENE1596",4.762,4.1609,3.9976,4.9378,5.3656,5.7308,4.5919,4.8034,4.2133,5.2266,4.4053,5.0083
"GENE1597",8.6985,8.8479,9.1714,8.4208,8.6371,8.5864,8.4872,8.8659,8.6918,9.0824,8.6992,10.416
"GENE1598",6.5028,7.0553,7.298,6.7696,6.1752,6.9662,7.657,7.3174,6.832,6.5666,7.8416,8.9567
"GENE1599",7.3553,6.5421,7.6001,7.2788,6.873,7.3169,7.3175,6.3707,6.6622,6.369,7.5015,6.9203
"GENE1600",2.7248,3.8731,4.5907,4.2462,4.2419,3.7822,4.2186,4.0468,4.7434,5.0753,4.166,4.2839
"GENE1601",4.2473,5.2485,4.834,5.1211,5.1038,6.3687,5.1182,5.324,4.6628,5.2147,4.3197,4.6194
"GENE1602",3.6201,3.2624,4.194,4.8593,1.2033,3.9502,3.7411,3.3504,5.1492,2.5213,2.7119,5.4725
"GENE1603",6.3791,6.6249,7.197,6.4552,6.5788,7.5192,6.7626,8.0312,7.2404,7.5266,5.8376,7.5426
"GENE1604",9.2944,10.5398,10.1113,8.9354,7.8111,9.2901,8.1878,8.1297,9.832,8.2475,9.8598,9.1772
"GENE1605",4.5906,4.8997,4.1849,4.542,5.1864,4.8334,4.869,5.3031,4.7797,5.8031,4.3321,6.0071
"GENE1606",6.0829,5.5221,7.1316,6.6707,6.0665,4.7685,6.0057,6.0403,5.6319,5.4288,5.5915,5.5778
"GENE1607",7.4281,8.209,7.994,7.8141,7.0061,7.8977,7.5537,7.4565,8.5109,7.3403,8.4728,7.3817
"GENE1608",2.839,2.8191,2.19,1.6301,4.3956,3.6375,3.82,1.9426,2.3557,3.3138,2.9197,3.0164
"GENE1609",2.5214,4.0171,2.5519,2.7452,2.5873,2.381,3.4779,2.8928,3.1946,2.1496,4.1756,2.8886
"GENE1610",4.6169,4.3915,3.8614,4.2406,3.188,4.294,3.8211,4.0605,3.6238,3.7459,3.1557,3.331
"GENE1611",5.812,5.6133,7.3004,6.6601,5.7535,6.7242,8.4579,6.0439,6.1225,6.7331,4.9882,5.5289
"GENE1612",6.1386,6.2225,5.9728,6.5154,6.3887,6.1769,6.3198,7.0479,6.0099,6.1002,6.2688,6.6737
"GENE1613",8.8765,8.3585,8.6723,8.1462,7.2183,8.4998,9.0528,8.1482,8.6163,8.0805,8.8649,7.5931
"GENE1614",3.9119,3.8911,3.2833,3.9182,3.6987,4.413,3.6158,2.2164,4.3299,2.9887,3.2433,3.2915
"GENE1615",4.9663,5.2817,5.577,4.8663,4.8778,4.3124,4.6198,5.0583,4.7623,4.8825,4.9594,4.5924
"GENE1616",0.3474,1.9437,2.5628,2.1063,2.2249,2.0297,3.0881,4.5078,3.501,4.093,3.7769,4.9209
"GENE1617",9.5194,8.2944,9.3659,9.0605,9.3659,10.6588,9.3063,8.625,8.6448,9.2396,10.5482,8.2959
"GENE1618",7.6948,7.6116,9.827,7.8998,8.398,8.234,8.7249,6.4745,7.5755,6.9259,8.2223,7.6896
"GENE1619",4.7813,4.0205,3.9976,4.1123,4.9112,3.7414,5.2849,3.9638,4.3872,3.8659,4.5362,4.707
"GENE1620",5.6881,5.1443,5.2865,5.0678,5.6558,5.5773,5.407,5.8008,5.3232,4.9323,5.0467,5.1153
"GENE1621",6.2953,5.7856,6.2184,4.2651,4.7529,6.9,5.9194,6.7219,5.2819,6.5033,5.9459,8.4249
"GENE1622",9.6709,9.0433,9.3764,8.1004,9.788,9.0339,10.0207,9.1458,9.5666,10.0228,9.2894,9.0563
"GENE1623",6.1026,6.6647,5.8635,6.498,5.6693,5.8155,6.0466,6.9617,5.1163,7.3415,5.337,6.7274
"GENE1624",6.984,6.3952,6.846,7.4751,6.8096,7.4952,5.1112,5.5588,5.7276,4.6533,4.3874,4.5331
"GENE1625",8.4775,6.3651,6.9478,5.9125,7.3871,6.9698,7.0648,8.7189,6.4728,7.6721,7.1446,6.4943
"GENE1626",6.7113,7.2556,9.0377,6.6709,6.0562,6.6729,8.7119,8.7875,9.1402,8.0436,8.7158,8.7461
"GENE1627",2.4593,2.4895,2.2498,3.4168,2.2972,1.8206,2.9209,3.0115,3.0266,2.7607,3.342,3.0628
"GENE1628",7.755,7.25,7.3878,6.9107,8.3058,6.3973,8.2631,8.1726,5.878,8.5968,9.0921,7.3663
"GENE1629",4.6397,3.2017,3.0913,5.7493,3.3943,4.9235,4.0523,3.584,3.6141,4.0375,4.5502,4.294
"GENE1630",7.4937,4.3282,4.368,5.4753,5.6931,6.811,5.3742,6.0902,6.3282,6.4398,4.6619,5.7877
"GENE1631",2.4644,2.1738,2.295,3.6982,3.1204,2.303,2.9244,3.9804,2.8541,2.9999,2.4974,3.3632
"GENE1632",6.3826,6.2176,7.4632,6.4657,6.5976,6.2794,6.6045,7.5405,6.3061,6.0214,4.9631,6.4111
"GENE1633",4.256,3.6279,4.2068,4.0991,4.2921,4.1257,4.0229,3.9718,3.7465,4.1386,4.4403,3.8427
"GENE1634",2.5984,1.1452,1.8408,-0.0691,0.8578,0.8636,1.0466,1.2607,2.3402,0.6892,1.5651,1.643
"GENE1635",2.9123,4.2352,2.3853,3.6306,3.7644,4.1231,1.6808,1.6289,2.6239,3.3183,2.5934,2.9552
"GENE1636",2.5736,0.9486,1.7978,1.9767,3.9047,2.8585,3.3046,2.2408,3.616,2.3157,3.9823,4.072
"GENE1637",7.098,7.7168,6.5384,6.8511,6.6638,7.3695,6.8531,7.0651,7.6731,7.558,7.8922,7.802
"GENE1638",7.6277,4.9276,7.3012,5.6104,6.784,7.5933,6.2194,6.0913,8.8935,8.1936,5.2863,6.9163
"GENE1639",6.8186,9.2477,9.0283,7.1857,7.8787,8.0727,8.4388,9.3174,8.9973,8.2484,11.2773,9.1451
"GENE1640",5.5196,4.572,4.6801,4.8667,5.017,4.848,4.7536,4.1394,4.7622,4.6069,5.2652,4.1517
"GENE1641",6.6799,5.9137,6.6899,6.5083,5.7351,5.7755,6.4149,6.8711,6.2736,5.7292,6.5582,7.2306
"GENE1642",5.9555,7.3789,7.5263,6.2493,6.9519,6.4532,5.9527,5.8266,6.4283,5.7137,5.7341,8.9339
"GENE1643",5.6334,4.3326,5.2844,6.7947,4.5085,6.1715,5.5177,6.4424,5.8859,5.8293,6.6753,5.0082
"GENE1644",4.2832,5.1686,3.9076,3.1875,4.175,4.5114,4.8858,4.5684,2.5453,4.2692,2.5047,4.5265
"GENE1645",7.0549,9.308,7.8596,10.2468,7.4713,10.282,10.0721,8.3841,10.1922,8.7942,8.8807,9.287
"GENE1646",7.9928,10.5373,8.6959,9.6346,11.3255,9.3673,8.5705,8.8054,9.6896,8.3984,9.2343,9.7522
"GENE1647",10.1665,9.8026,10.4905,9.9028,9.8277,10.563,10.3023,8.6332,9.7089,10.9907,10.6733,9.7787
"GENE1648",7.7872,7.5696,8.244,8.2073,8.0253,8.1175,8.3092,7.6929,8.9547,8.9088,8.9635,7.8941
"GENE1649",6.6661,5.1323,5.2925,5.4245,5.7429,5.3654,5.9056,4.9853,5.3776,4.5644,5.6365,5.2445
"GENE1650",6.2524,5.5311,6.292,5.0643,7.2501,5.4501,5.2166,5.9313,5.6636,5.8809,4.5053,4.9541
"GENE1651",5.3584,5.4915,5.5277,6.8911,4.9624,7.0537,5.095,5.5232,6.6286,7.1382,6.5135,6.6302
"GENE1652",4.7803,6.2137,5.4871,5.9932,4.535,6.667,5.1365,6.1866,5.8293,6.3652,6.1406,6.0132
"GENE1653",5.9338,5.3905,6.4122,6.0697,6.1585,5.1981,5.4355,4.8756,5.0022,6.9886,4.8026,5.5751
"GENE1654",2.4123,1.2486,0.7929,0.4743,2.5175,2.4012,0.9652,1.4144,2.1094,0.4757,1.9338,1.3641
"GENE1655",6.0295,4.7712,6.0502,6.3552,5.7512,6.0829,6.1624,6.2879,5.8425,5.9902,6.0036,5.6465
"GENE1656",6.0149,5.739,6.4718,5.9002,5.8801,6.9651,5.6891,6.1586,6.5272,6.0098,6.6458,6.4595
"GENE1657",5.0049,3.0828,4.3425,4.2992,3.5815,4.0393,4.2623,3.836,4.2944,3.4673,3.7671,3.209
"GENE1658",3.2832,0.6417,3.6467,0.6419,1.8693,1.4627,3.1814,0.1478,2.2361,2.4672,4.1257,2.699
"GENE1659",5.9244,5.8503,5.3036,5.5694,5.6513,5.3358,4.3155,2.4054,2.8327,1.8592,3.1524,4.2386
"GENE1660",0.5294,-0.0088,-0.141,-1.0573,0.0968,0.2061,0.5018,0.8016,1.4756,0.7617,0.3175,0.701
"GENE1661",9.0373,8.9022,8.8946,10.4664,8.4767,8.0619,9.2951,9.7029,8.5794,9.9409,8.9003,10.0156
"GENE1662",7.1477,7.8487,6.31,6.9392,8.2495,7.1753,6.8789,7.6512,7.7787,8.5026,9.3781,7.8474
"GENE1663",4.4631,4.2765,3.043,3.4464,4.3896,3.6401,4.867,4.6533,3.924,4.3566,3.7191,4.6482
"GENE1664",6.5659,5.4035,6.0663,5.4238,6.4631,4.1113,6.5116,5.598,5.8193,5.3833,5.7271,5.7807
"GENE1665",5.5609,6.3697,5.3905,5.7982,4.6622,5.8111,5.1687,5.792,5.7519,5.5046,4.827,6.386
"GENE1666",3.2572,0.8581,3.5942,2.2614,2.5471,1.9132,3.9343,3.3154,2.0191,2.555,3.1085,3.1901
"GENE1667",3.1927,3.8854,2.806,3.0013,4.7848,5.262,3.6494,2.6406,3.2423,3.8034,3.8505,3.8261
"GENE1668",7.5482,8.2637,8.0909,7.78,8.4644,8.0539,8.1454,7.8981,7.903,8.2645,8.1751,7.0509
"GENE1669",2.4435,4.3227,3.6491,4.4602,2.8084,3.828,3.1662,4.293,4.1464,4.1447,3.2514,4.5012
"GENE1670",4.5564,4.9208,4.9157,4.7836,5.4381,4.5591,3.9341,4.2656,4.5746,4.8671,4.383,4.4864
"GENE1671",5.5025,4.9011,4.36,4.5041,5.0591,4.2665,4.8127,3.223,4.0981,3.8563,4.4785,4.4393
"GENE1672",8.3748,8.5776,8.6775,8.24,8.5095,8.7838,7.9716,7.8378,8.6377,9.3184,7.8757,7.7668
"GENE1673",6.5728,4.8852,5.587,5.8506,5.5331,5.8312,6.382,3.9912,6.8085,5.6576,5.548,6.048
"GENE1674",6.754,7.2602,7.2172,5.8054,6.6314,6.8763,7.2142,6.261,7.0547,6.9257,7.7864,5.6455
"GENE1675",6.934,6.6026,6.1028,7.5974,6.839,6.8312,5.9858,4.5299,6.5036,6.8748,6.9817,5.5814
"GENE1676",4.8974,4.6265,5.2214,6.3017,4.1111,5.7138,5.3705,4.5164,5.764,6.6725,6.3059,4.7897
"GENE1677",4.6833,4.8108,4.5028,4.3649,3.6146,5.2742,3.8849,5.5472,2.9431,4.7981,3.3716,5.255
"GENE1678",6.9162,6.0851,6.0206,6.9649,6.519,5.0318,5.3686,5.43,6.2336,5.5174,7.3301,6.4522
"GENE1679",7.0469,7.2367,6.2185,5.756,4.7206,6.0951,4.5884,6.5647,5.6546,4.9962,5.5109,5.9908
"GENE1680",9.1743,7.9514,9.862,6.9903,9.3205,8.076,7.0259,6.7788,6.6894,5.8947,5.5557,6.279
"GENE1681",4.5324,4.9457,5.3434,3.6864,4.9788,4.9999,4.3568,4.8745,3.6168,5.1786,3.6612,4.9095
"GENE1682",4.3228,4.3471,4.4511,6.0157,5.2187,5.2188,5.2893,4.3222,3.63,4.9034,5.1451,6.8765
"GENE1683",7.9878,7.227,7.1649,6.5018,7.7654,6.5057,6.627,6.8189,7.6249,6.3539,7.0725,7.6505
"GENE1684",3.9533,5.5406,4.7206,3.6338,4.1899,5.2914,4.9717,4.8102,5.0794,4.6687,4.5531,4.4621
"GENE1685",5.7071,7.7183,5.4997,6.467,6.1594,7.4417,7.2688,8.2283,5.8949,8.779,7.1795,8.2383
"GENE1686",6.9735,5.8965,6.6524,6.2082,7.4209,6.2018,9.7511,8.1219,9.0994,8.3851,8.8226,8.4226
"GENE1687",5.4525,5.8111,5.9363,5.9198,5.5316,6.2637,5.1604,5.7403,5.4498,5.3257,5.0624,6.2185
"GENE1688",4.312,2.4339,3.2454,2.9387,3.7179,3.884,2.9863,3.187,3.933,3.4933,3.4899,3.3783
"GENE1689",5.4283,6.9368,5.9465,6.1246,6.5631,6.5468,8.5461,6.9512,7.6965,8.1607,8.6991,8.2689
"GENE1690",6.1494,4.9795,5.8649,4.9677,5.7571,4.3524,5.8312,4.5813,5.027,3.2383,5.7544,4.1731
"GENE1691",2.2661,0.9471,2.05,2.5711,2.5078,1.8849,1.8194,2.3118,2.2051,1.1116,2.473,1.7843
"GENE1692",5.8562,6.3349,4.9582,6.0009,6.7509,5.8567,7.1499,6.0956,6.9763,6.1226,7.7224,6.4178
"GENE1693",7.7494,6.1143,6.1025,6.618,5.8132,6.7064,5.9233,6.4114,6.2076,6.6863,6.5181,6.1694
"GENE1694",2.9739,3.1007,3.2845,3.1858,2.1601,2.9516,3.8464,2.9914,3.8124,3.0178,1.845,2.558
"GENE1695",4.7518,3.4257,5.1119,5.6213,4.2633,5.6025,3.8405,4.1588,4.903,4.3551,4.6279,6.2536
"GENE1696",5.3094,6.3777,4.6824,6.6156,4.7155,5.3008,4.7525,4.2468,5.4267,5.8701,6.8747,5.8386
"GENE1697",4.5024,4.734,4.7452,4.0991,4.8163,3.3867,3.9751,3.5384,3.7827,3.4993,4.5593,4.0659
"GENE1698",7.3341,7.0708,6.8175,6.9872,7.0929,7.74,7.2557,7.3532,6.5916,6.2064,6.4686,7.9069
"GENE1699",3.0778,3.818,3.0435,2.5106,1.7274,1.0793,1.8515,1.9452,2.5759,1.9544,2.5591,3.1359
"GENE1700",4.6685,4.079,4.61,4.4501,4.3316,5.2923,2.9862,4.2513,3.0195,4.0348,3.5779,5.2778
"GENE1701",5.883,4.7003,4.391,6.1869,3.559,5.6702,5.4368,6.164,5.0205,5.974,5.2764,5.5
"GENE1702",8.4171,8.5751,9.5215,10.3787,9.1149,8.3129,10.2202,9.0852,8.3685,9.2342,10.4073,7.6521
"GENE1703",6.8076,5.5965,4.5322,4.6945,5.4019,5.9274,7.0099,5.4683,7.5427,7.0024,5.864,5.7252
"GENE1704",3.0005,4.7265,3.7053,4.3687,3.9112,3.6658,3.1792,5.286,4.2214,6.0344,3.3095,3.9507
"GENE1705",8.4736,8.8249,9.4569,9.6501,9.8013,9.5345,8.4302,9.4772,8.6739,8.9194,9.6094,9.4363
